station_id,name,short_name,lat,lon,region_id,rental_methods/0,rental_methods/1,capacity,eightd_has_key_dispenser
266,Avenue D & E 8 St,5506.1,40.72368361,-73.97574813,71,KEY,CREDITCARD,24,FALSE
267,Broadway & W 36 St,6441.01,40.75097711,-73.98765428,71,KEY,CREDITCARD,57,FALSE
268,Howard St & Centre St,5422.04,40.71910537,-73.99973337,71,KEY,CREDITCARD,27,FALSE
270,Adelphi St & Myrtle Ave,4620.02,40.69308257,-73.97178913,71,KEY,CREDITCARD,23,FALSE
274,Lafayette Ave & Fort Greene Pl,4395.04,40.68691865,-73.976682,71,KEY,CREDITCARD,31,FALSE
275,Washington Ave & Greene Ave,4419.03,40.68650065,-73.96563307,71,KEY,CREDITCARD,19,FALSE
276,Duane St & Greenwich St,5400.08,40.71748752,-74.0104554,71,KEY,CREDITCARD,25,FALSE
278,Concord St & Bridge St,4781.03,40.69766564,-73.98476437,71,KEY,CREDITCARD,19,FALSE
279,Peck Slip & Front St,5098.1,40.707873,-74.00167,71,KEY,CREDITCARD,36,FALSE
280,E 10 St & 5 Ave,5872.08,40.73331967,-73.99510132,71,KEY,CREDITCARD,31,FALSE
281,Grand Army Plaza & Central Park S,6839.1,40.7643971,-73.97371465,71,KEY,CREDITCARD,59,TRUE
282,Kent Ave & S 11 St,5062.01,40.70764494,-73.96841526,71,KEY,CREDITCARD,27,FALSE
284,Greenwich Ave & 8 Ave,6072.06,40.73901691,-74.00263761,71,KEY,CREDITCARD,43,FALSE
285,Broadway & E 14 St,5905.12,40.73454567,-73.99074142,71,KEY,CREDITCARD,47,TRUE
289,Monroe St & Classon Ave,4336.01,40.6845683,-73.95881081,71,KEY,CREDITCARD,19,FALSE
291,Madison St & Montgomery St,5262.09,40.713126,-73.984844,71,KEY,CREDITCARD,20,FALSE
293,Lafayette St & E 8 St,5788.13,40.73028666,-73.9907647,71,KEY,CREDITCARD,0,FALSE
295,Pike St & E Broadway,5270.05,40.71406667,-73.99293911,71,KEY,CREDITCARD,24,FALSE
296,Division St & Bowery,5238.04,40.71413089,-73.9970468,71,KEY,CREDITCARD,35,FALSE
297,E 15 St & 3 Ave,5863.07,40.734232,-73.986923,71,KEY,CREDITCARD,27,FALSE
298,3 Ave & Schermerhorn St,4437.01,40.68683208,-73.9796772,71,KEY,CREDITCARD,35,FALSE
301,E 2 St & Avenue B,5515.02,40.72217444,-73.98368779,71,KEY,CREDITCARD,37,FALSE
302,Avenue D & E 3 St,5436.09,40.72082834,-73.97793172,71,KEY,CREDITCARD,23,FALSE
303,Mercer St & Spring St,5532.01,40.72362738,-73.99949601,71,KEY,CREDITCARD,31,FALSE
304,Broadway & Battery Pl,4962.01,40.70463334,-74.01361706,71,KEY,CREDITCARD,34,TRUE
305,E 58 St & 3 Ave,6762.02,40.76095756,-73.96724467,71,KEY,CREDITCARD,33,FALSE
306,Cliff St & Fulton St,5065.11,40.70823502,-74.00530063,71,KEY,CREDITCARD,37,FALSE
307,Canal St & Rutgers St,5303.08,40.71427487,-73.98990025,71,KEY,CREDITCARD,29,FALSE
308,St James Pl & Oliver St,5238.05,40.71307916,-73.99851193,71,KEY,CREDITCARD,27,FALSE
309,Murray St & West St,5329.06,40.7149787,-74.013012,71,KEY,CREDITCARD,41,FALSE
310,State St & Smith St,4565.06,40.68926942,-73.98912867,71,KEY,CREDITCARD,36,FALSE
